BLOC,POLARITÉ,PLANÈTE,TYPE_DONNÉE,VALEUR,INTERPRÉTATION,MOTS_CLÉS,SOURCE,VALIDATION,DATE_MAJ,
Style,"Femme, Homme",Mars,Maison,10,"Tu séduis par ton ambition, ta maturité, ton statut social. Tu prends l'initiative de manière stratégique et responsable. L'amour peut passer après tes objectifs professionnels. Tu montres ton intérêt en construisant quelque chose de solide, de respectable. Tu veux un partenaire à la hauteur.",,,,,
Style,"Femme, Homme",Mars,Maison,11,"Tu séduis par ton originalité, ton idéalisme, ta capacité à créer du lien social. Tu prends l'initiative en créant des projets communs, des réseaux, des amitiés. Ton désir passe par la liberté, la vision collective. Tu aimes séduire dans un cadre amical, sans pression.""",,,,,
Style,"Femme, Homme",Mars,Maison,12,"Ton désir est caché, diffus, spiritualisé. Tu séduis en secret, avec sensibilité et mystère. Tu peux avoir peur d'agir, préférant fantasmer ou sacrifier ton désir. Ton énergie amoureuse s'exprime mieux dans l'imaginaire, l'artistique, le spirituel. Tu attires par ta fragilité et ta compassion.",,,,,
Partenaire,Femme,Mars,Signe,Bélier,"Tu es attirée par des hommes virils, directs, qui foncent. Il doit avoir du courage, de l'audace, une énergie conquérante. L'homme idéal est un guerrier — il agit, il n'attend pas, il assume. Non intégré, tu peux attirer des hommes agressifs, égoïstes, infidèles (car ils aiment la conquête plus que la relation). Intégré, tu choisis un homme affirmé qui sait aussi se poser — la force sans la brutalité.",viril;conquérant;archétype masculin,,,,
Partenaire,Femme,Mars,Signe,Taureau,"Tu es attirée par des hommes stables, sensuels, ancrés. Il doit aimer la routine, le confort, les plaisirs simples de la vie. L'homme idéal est un roc — il sécurise, il cadre, il construit. Non intégré, tu peux attirer des hommes têtus, possessifs, résistants au changement. Intégré, tu choisis un homme solide et sensuel qui sait évoluer — la stabilité sans l'immobilisme.",stable;confort;routine,,,,
Partenaire,Femme,Mars,Signe,Gémeaux,"Tu es attirée par des hommes vifs d'esprit, curieux, communicants. Il doit savoir parler, échanger, te surprendre intellectuellement. L'homme idéal est un ami avant tout — léger, stimulant, toujours en mouvement. Non intégré, tu peux attirer des hommes volages, superficiels, ou qui fuient l'engagement émotionnel. Intégré, tu choisis un homme brillant qui sait aussi s'ancrer — la légèreté sans la fuite.",curiosité;communication;changement,,,,
Partenaire,Femme,Mars,Signe,Cancer,"Tu es attirée par des hommes sensibles, doux, protecteurs. Il doit avoir un côté yin, être à l'écoute de ses émotions et des tiennes. L'homme idéal a besoin qu'on prenne soin de lui autant qu'il prend soin de toi. Non intégré, tu peux attirer des hommes passifs, dépendants, qui se positionnent peu. Intégré, tu choisis un homme tendre qui assume aussi sa force — la douceur sans la faiblesse.",sensible;doux;timide,,,,
Partenaire,Femme,Mars,Signe,Lion,"Tu es attirée par des hommes charismatiques, fiers, généreux. Il doit briller, avoir confiance en lui, incarner le héros solaire. L'homme idéal est un roi — courageux, créatif, protecteur. Non intégré, tu peux attirer des hommes orgueilleux, dominateurs, ou qui exigent toute l'attention. Intégré, tu choisis un homme lumineux qui partage la scène — le charisme sans l'égo démesuré.",charismatique;généreux;confiant,,,,
Partenaire,Femme,Mars,Signe,Vierge,"Tu es attirée par des hommes discrets, travailleurs, fiables. Il doit être humble, attentif aux détails, centré sur le concret. L'homme idéal est un artisan — il améliore, il perfectionne, il sert. Non intégré, tu peux attirer des hommes critiques, anxieux, rigides ou qui ont du mal à s'affirmer. Intégré, tu choisis un homme consciencieux qui sait aussi lâcher prise — la rigueur sans l'obsession.",modeste;travailleur;rigide,,,,
Partenaire,Femme,Mars,Signe,Balance,"Tu es attirée par des hommes doux, diplomates, qui cherchent l'harmonie. Il doit aimer la paix, le compromis, faire plaisir. L'homme idéal est un partenaire — il écoute, il équilibre, il crée du beau. Non intégré, tu peux attirer des hommes indécis, qui fuient le conflit ou ne se positionnent jamais clairement. Intégré, tu choisis un homme harmonieux qui sait aussi trancher — la douceur sans la mollesse.",douceur;compromis;harmonie,,,,
Partenaire,Femme,Mars,Signe,Scorpion,"Tu es attirée par des hommes intenses, passionnés, magnétiques. Il doit avoir de la profondeur, aimer se remettre en question, ne pas craindre l'ombre. L'homme idéal est un transformateur — puissant, entier, sexuellement intense. Non intégré, tu peux attirer des hommes manipulateurs, jaloux, ou qui aiment le danger et les risques. Intégré, tu choisis un homme profond qui respecte tes limites — l'intensité sans la destruction.",intense;passionné;risques,,,,
Partenaire,Femme,Mars,Signe,Sagittaire,"Tu es attirée par des hommes libres, aventuriers, inspirants. Il doit avoir une vision, de l'intelligence, une ouverture sur le monde. L'homme idéal est un explorateur — il t'élève, t'emmène ailleurs, te fait grandir. Non intégré, tu peux attirer des hommes fuyants, incapables de s'engager, ou toujours en quête d'autre chose. Intégré, tu choisis un homme libre qui choisit de rester — l'aventure sans l'abandon.",aventurier;assise sociale;ouvert,,,,
Partenaire,Femme,Mars,Signe,Capricorne,"Tu es attirée par des hommes matures, structurants, ambitieux. Il doit avancer dans la vie, prendre des décisions, avoir de l'énergie constructive. L'homme idéal est un père symbolique — il guide, il protège, il bâtit. Non intégré, tu peux attirer des hommes froids, carriéristes, ou trop autoritaires. Intégré, tu choisis un homme solide qui sait aussi être tendre — l'ambition sans la froideur.",structurant;paternel;décision,,,,
Partenaire,Femme,Mars,Signe,Verseau,"Tu es attirée par des hommes originaux, indépendants, qui pensent différemment. Il doit être libre, progressiste, vivre à sa façon. L'homme idéal est un rebelle — il ne suit pas le troupeau, il invente sa propre voie. Non intégré, tu peux attirer des hommes distants, imprévisibles, ou qui fuient toute forme d'attachement. Intégré, tu choisis un homme unique qui sait aussi s'engager — la liberté sans le détachement.",libre;indépendant;atypique,,,,
Partenaire,Femme,Mars,Signe,Poissons,"Tu es attirée par des hommes sensibles, romantiques, spirituels. Il doit avoir de l'intuition, de la douceur, une connexion à quelque chose de plus grand. L'homme idéal est un rêveur — il te comprend sans mots, il fusionne avec toi. Non intégré, tu peux attirer des hommes fuyants, passifs, ou qui se perdent dans leurs illusions. Intégré, tu choisis un homme inspiré avec les pieds sur terre — le rêve sans la fuite.",spirituel;doux;fuyant,,,,
Partenaire,Homme,Venus,Signe,Bélier,"Tu es attiré par des femmes directes, dynamiques, qui savent ce qu'elles veulent. Elle doit avoir du caractère, de l'audace, une énergie qui te challenge. La femme idéale n'attend pas — elle fonce, elle ose, elle t'embarque. Non intégré, tu peux confondre agressivité et force, attirant des femmes impulsives ou conflictuelles. Ou tu t'ennuies dès qu'elle devient douce. Intégré, tu choisis une femme courageuse qui sait aussi se poser — le feu sans la brûlure.",,,,,
Partenaire,Homme,Venus,Signe,Taureau,"Tu es attiré par des femmes sensuelles, stables, ancrées dans le réel. Elle doit avoir de la présence physique, un rapport au corps assumé, un goût pour les plaisirs simples. La femme idéale est belle, tactile, rassurante — elle incarne la terre. Non intégré, tu peux t'attacher à des femmes possessives ou rester dans des relations par confort plutôt que par amour. Intégré, tu choisis une femme sensuelle et fiable — la beauté s'incarne dans la durée.",,,,,
Partenaire,Homme,Venus,Signe,Gémeaux,"Tu es attiré par des femmes vives, curieuses, qui savent parler de tout. Elle doit te stimuler intellectuellement, te faire rire, te surprendre. La femme idéale est légère, mobile, insaisissable — elle a toujours quelque chose de nouveau à dire. Non intégré, tu peux tomber pour des femmes superficielles ou inconstantes, confondant vivacité et profondeur. Intégré, tu choisis une femme brillante ET présente — l'esprit sans la fuite.",,,,,
Partenaire,Homme,Venus,Signe,Cancer,"Tu es attiré par des femmes douces, maternantes, émotionnellement disponibles. Elle doit pouvoir créer un cocon, prendre soin, nourrir. La femme idéale a quelque chose de lunaire, de protecteur — elle te fait te sentir chez toi. Non intégré, tu peux chercher une mère plutôt qu'une partenaire, ou attirer des femmes dépendantes qui s'accrochent. Intégré, tu choisis une femme tendre et autonome — la douceur sans l'étouffement.",,,,,
Partenaire,Homme,Venus,Signe,Lion,"Tu es attiré par des femmes qui rayonnent, qui attirent le regard, qui ont de la prestance. Elle doit être fière, généreuse, lumineuse — une reine. La femme idéale brille en société et te fait te sentir fier d'être avec elle. Non intégré, tu peux tomber pour des femmes narcissiques ou vivre l'amour comme une compétition de qui brille le plus. Intégré, tu choisis une femme solaire qui partage la lumière — l'éclat sans l'égo.",,,,,
Partenaire,Homme,Venus,Signe,Vierge,"Tu es attiré par des femmes intelligentes, discrètes, qui ont de la substance. Elle doit être fiable, attentive aux détails, utile — pas de chichis, pas de drama. La femme idéale est sobre, élégante, perfectionniste dans le bon sens. Non intégré, tu peux attirer des femmes critiques, anxieuses, ou réduire l'amour à une liste de critères. Intégré, tu choisis une femme raffinée et bienveillante — l'exigence sans le jugement.",,,,,
Partenaire,Homme,Venus,Signe,Balance,"Tu es attiré par des femmes élégantes, harmonieuses, sociables. Elle doit avoir du charme, de la grâce, un sens de l'esthétique. La femme idéale est belle, diplomate, agréable à vivre — elle crée de l'harmonie autour d'elle. Non intégré, tu peux tomber pour des femmes superficielles ou indécises, ou chercher une partenaire ""parfaite"" qui n'existe pas. Intégré, tu choisis une femme gracieuse ET authentique — la beauté avec de la profondeur.",,,,,
Partenaire,Homme,Venus,Signe,Scorpion,"Tu es attiré par des femmes intenses, magnétiques, qui ont de la profondeur. Elle doit avoir une part de mystère, une sexualité assumée, un regard qui transperce. La femme idéale est passionnée, entière, transformatrice — elle ne laisse pas indifférent. Non intégré, tu peux attirer des femmes toxiques, possessives, ou vivre l'amour comme un jeu de pouvoir. Intégré, tu choisis une femme intense ET stable — la profondeur sans la destruction.",,,,,
Partenaire,Homme,Venus,Signe,Sagittaire,"Tu es attiré par des femmes libres, aventurières, qui voient grand. Elle doit avoir de l'humour, de l'optimisme, un appétit de vivre. La femme idéale est indépendante, inspirante, toujours en mouvement — elle t'ouvre des horizons. Non intégré, tu peux tomber pour des femmes fuyantes ou incapables de s'engager, confondant liberté et indisponibilité. Intégré, tu choisis une femme libre qui choisit d'être là — l'aventure avec l'ancrage.",,,,,
Partenaire,Homme,Venus,Signe,Capricorne,"Tu es attiré par des femmes matures, ambitieuses, qui ont de la tenue. Elle doit être sérieuse, structurée, avoir réussi quelque chose dans sa vie. La femme idéale est solide, classe, fiable — elle impose le respect. Non intégré, tu peux attirer des femmes froides, carriéristes, ou confondre statut social et valeur personnelle. Intégré, tu choisis une femme accomplie ET chaleureuse — l'ambition avec le cœur.",,,,,
Partenaire,Homme,Venus,Signe,Verseau,"Tu es attiré par des femmes originales, indépendantes, qui sortent du lot. Elle doit être différente, avoir ses propres idées, ne pas suivre le troupeau. La femme idéale est unique, libre d'esprit, un peu décalée — elle te surprend toujours. Non intégré, tu peux tomber pour des femmes distantes, excentriques, ou fuir l'intimité au nom de la liberté. Intégré, tu choisis une femme originale ET connectée — la liberté avec la présence.",,,,,
Partenaire,Homme,Venus,Signe,Poissons,"Tu es attiré par des femmes sensibles, rêveuses, qui ont une dimension spirituelle ou artistique. Elle doit avoir de l'intuition, de la douceur, quelque chose d'insaisissable. La femme idéale est romantique, empathique, presque éthérée — elle touche ton âme. Non intégré, tu peux tomber pour des femmes victimes, fuyantes, ou te perdre dans des amours impossibles. Intégré, tu choisis une femme inspirante ET ancrée — le rêve avec les pieds sur terre.",,,,,
Partenaire,Femme,Soleil,Signe,Bélier,"Attirée par un homme vif, entier, audacieux. Elle veut une présence masculine affirmée, qui agit, pas qui parle.",force; action; courage; franchise,,,,
Partenaire,Femme,Soleil,Signe,Taureau,"Attirée par un homme stable, solide, fiable. Elle a besoin de sécurité, de loyauté et de constance.",stabilité; loyauté; sensualité; patience,,,,
Partenaire,Femme,Soleil,Signe,Gémeaux,"Attirée par un homme curieux, intelligent, communicatif. L’humour et la complicité mentale comptent autant que le physique.",curiosité; dialogue; légèreté; complicité,,,,
Partenaire,Femme,Soleil,Signe,Cancer,"Attirée par un homme sensible, protecteur, bienveillant. Elle veut un lien rassurant et sincère.",tendresse; sécurité; loyauté; famille,,,,
Partenaire,Femme,Soleil,Signe,Lion,"Attirée par un homme charismatique, fier, lumineux. Elle veut admirer son partenaire.",charisme; fierté; passion; rayonnement,,,,
Partenaire,Femme,Soleil,Signe,Vierge,"Attirée par un homme réfléchi, précis, stable. Elle veut de la fiabilité et de la cohérence.",sérieux; loyauté; service; rigueur,,,,
Partenaire,Femme,Soleil,Signe,Balance,"Attirée par un homme élégant, juste, cultivé. Elle veut un lien doux, égalitaire et charmant.",harmonie; dialogue; beauté; réciprocité,,,,
Partenaire,Femme,Soleil,Signe,Scorpion,"Attirée par un homme profond, passionné, loyal. Elle veut être marquée, transformée, pas divertie.",intensité; loyauté; transformation; vérité,,,,
Partenaire,Femme,Soleil,Signe,Sagittaire,"Attirée par un homme libre, inspirant, curieux. L’amour doit être une aventure.",liberté; aventure; enthousiasme; découverte,,,,
Partenaire,Femme,Soleil,Signe,Capricorne,"Attirée par un homme mature, fiable, ancré. Elle veut du sérieux, du concret, du respect.",stabilité; engagement; maturité; fidélité,,,,
Partenaire,Femme,Soleil,Signe,Verseau,"Attirée par un homme libre, atypique, cérébral. Elle veut un lien original et stimulant.",liberté; originalité; indépendance; stimulation,,,,
Partenaire,Femme,Soleil,Signe,Poissons,"Attirée par un homme doux, inspiré, sensible. Elle veut une connexion d’âme à âme.",compassion; rêve; intuition; fusion,,,,
Partenaire,Homme,Lune,Signe,Bélier,"Attiré par une femme indépendante, spontanée, pleine d’énergie. Il aime les femmes directes et passionnées.",énergie; liberté; passion; franchise,,,,
Partenaire,Homme,Lune,Signe,Taureau,"Attiré par une femme calme, posée, sensuelle. Il cherche la stabilité et la douceur.",stabilité; loyauté; douceur; sécurité,,,,
Partenaire,Homme,Lune,Signe,Gémeaux,"Attiré par une femme vive d’esprit, joyeuse, communicative. L’amour doit être léger et amusant.",curiosité; dialogue; humour; légèreté,,,,
Partenaire,Homme,Lune,Signe,Cancer,"Attiré par une femme douce, maternelle, protectrice. L’amour est pour lui un refuge.",tendresse; loyauté; famille; sécurité,,,,
Partenaire,Homme,Lune,Signe,Lion,"Attiré par une femme charismatique, lumineuse, fière. Il aime les femmes qui rayonnent.",charisme; passion; fierté; chaleur,,,,
Partenaire,Homme,Lune,Signe,Vierge,"Attiré par une femme calme, posée, fiable. Il aime les femmes qui prennent soin sans étouffer.",loyauté; service; sincérité; modestie,,,,
Partenaire,Homme,Lune,Signe,Balance,"Attiré par une femme élégante, douce, harmonieuse. Il cherche l’équilibre et la beauté du lien.",harmonie; beauté; charme; paix,,,,
Partenaire,Homme,Lune,Signe,Scorpion,"Attiré par une femme mystérieuse, passionnée, loyale. Il aime les femmes vraies, pas tièdes.",intensité; loyauté; vérité; mystère,,,,
Partenaire,Homme,Lune,Signe,Sagittaire,"Attiré par une femme libre, solaire, aventureuse. L’amour doit être un terrain de jeu et de croissance.",liberté; optimisme; aventure; joie,,,,
Partenaire,Homme,Lune,Signe,Capricorne,"Attiré par une femme posée, forte, fiable. Il cherche une présence stable, digne de confiance.",stabilité; maturité; fidélité; solidité,,,,
Partenaire,Homme,Lune,Signe,Verseau,"Attiré par une femme libre, atypique, cérébrale. Il aime celles qui ne rentrent pas dans le moule.",liberté; indépendance; différence; amitié,,,,
Partenaire,Homme,Lune,Signe,Poissons,"Attiré par une femme douce, sensible, rêveuse. Il veut un lien d’âme, pas une logique.",compassion; rêve; fusion; poésie,,,,
Couple,"Femme, Homme",Junon,Signe,Bélier,"Recherche une union vivante, passionnée, pleine d’action. Besoin d’un partenaire entreprenant, présent, courageux.",action; passion; défi; intensité,,,,
Couple,"Femme, Homme",Junon,Signe,Taureau,"Recherche stabilité et sécurité affective. L’union doit être durable, fidèle et rassurante.",loyauté; stabilité; fidélité; sécurité,,,,
Couple,"Femme, Homme",Junon,Signe,Gémeaux,"Besoin d’un lien mental et vivant. L’union doit rester légère, communicante, stimulante.",communication; curiosité; légèreté; vivacité,,,,
Couple,"Femme, Homme",Junon,Signe,Cancer,"Cherche la tendresse, le foyer, la famille. L’union doit nourrir émotionnellement et protéger.",foyer; tendresse; loyauté; protection,,,,
Couple,"Femme, Homme",Junon,Signe,Lion,"Recherche une union noble, forte, passionnée. Besoin d’admirer et d’être admiré(e).",charisme; loyauté; passion; reconnaissance,,,,
Couple,"Femme, Homme",Junon,Signe,Vierge,"Recherche un lien sincère, utile, stable. L’amour doit être concret et respectueux.",loyauté; service; constance; exigence,,,,
Couple,"Femme, Homme",Junon,Signe,Balance,"Recherche une union équilibrée, élégante, juste. Besoin d’harmonie et de respect mutuel.",harmonie; partage; justice; équilibre,,,,
Couple,"Femme, Homme",Junon,Signe,Scorpion,"Recherche intensité et vérité. L’union doit être totale, transformatrice, fusionnelle.",passion; vérité; transformation; loyauté,,,,
Couple,"Femme, Homme",Junon,Signe,Sagittaire,"Recherche une union libre, inspirante, tournée vers la croissance.",liberté; aventure; expansion; philosophie,,,,
Couple,"Femme, Homme",Junon,Maison,1,"L'union va nous compléter, nous amener à devenir plus nous-même.
Tu peux avoir du charme, rechercher un.e partenaire charmant.e.",,,,,
Couple,"Femme, Homme",Junon,Maison,2,"L'union se nourrira de stabilité et d'un socle solide, sur les plans affectifs et financiers. Besoin d'un partage en terme de valeurs.",,,,,
Couple,"Femme, Homme",Junon,Maison,3,"L'union se formalise à travers la communication, les échanges, la complicité, le côté gémellaire (trouver son double).",,,,,
Couple,"Femme, Homme",Junon,Maison,4,L'union doit donner lieu à la création d'une famille (enfants ou juste couple). Elle doit apporter une stabilité et sécurité émotionnelle.,,,,,
Couple,"Femme, Homme",Junon,Maison,5,"L'union doit donner lieu à de la passion, de la séduction, valoriser chacun.e dans le couple, apporter une dimension créative.",,,,,
Couple,"Femme, Homme",Junon,Maison,6,"L'union doit amener un quotidien solide, un partage des tâches, une routine saine. Attention au sacrifice de soi, au ""rendre service"".",,,,,
Couple,"Femme, Homme",Junon,Maison,7,"L'union est très importante, on a souvent envie de se marier, de s'unir. Elle doit apporter de la paix, un sentiment d'apaisement.",,,,,
Couple,"Femme, Homme",Junon,Maison,8,"L'union doit transformer, nourrir sa sensualité, faire gagner en profondeur. On doit partager sur le plan psychologie ou ésotérique.",,,,,
Couple,"Femme, Homme",Junon,Maison,9,"L'union doit donner la sensation d'une quête, d'une grande aventure intérieure et existentielle. On a besoin d'admirer l'autre pour l'aimer.",,,,,
Couple,"Femme, Homme",Junon,Maison,10,"L'union doit donner lieu à une constructions solide et fiable, et pourquoi pas aider à œuvrer au niveau professionnel.",,,,,
Couple,"Femme, Homme",Junon,Maison,11,"L'union doit rester libre, être différente de la norme, et donner lieu à un enrichissement amical et",,,,,
Couple,"Femme, Homme",Junon,Maison,12,"L'union doit être profonde, spirituelle et fusionnelle. Enrichissement interieur. Attention au sacrifice de soi et à l'enfermement de la 12.",,,,,
Intime,"Femme, Homme",Lune Noire,Maison,1,"Peur d'être vu(e) tel(le) que tu es. Honte de ton corps, de ton désir visible. Tu caches ou rejettes ton pouvoir physique, ton magnétisme naturel. Blessure d'identité sexuelle",,,,,
Intime,"Femme, Homme",Lune Noire,Maison,2,"Peur de manquer, d'être possédé(e) ou de posséder. Honte liée au plaisir charnel. Tu bloques ou surinvestis ton rapport au corps, à l'argent, à la possession. Blessure de valeur.",,,,,
Intime,"Femme, Homme",Lune Noire,Maison,3,"Peur de dire, de nommer tes désirs. Honte liée aux mots, aux fantasmes inavoués. Tu refoules ta parole érotique ou tu provoques par les mots. Blessure de communication.",,,,,
Intime,"Femme, Homme",Lune Noire,Maison,4,"Peur de l'intimité du foyer, secrets familiaux liés à la sexualité. Honte transmise par la lignée maternelle. Tu fuis ou surinvestis le cocon. Blessure d'appartenance.",,,,,
Intime,"Femme, Homme",Lune Noire,Maison,5,"Peur du plaisir, de la créativité sexuelle, de briller dans le désir. Honte liée à la spontanéité, au jeu érotique. Tu bloques ou surjoues ton pouvoir de séduction. Blessure de joie.",,,,,
Intime,"Femme, Homme",Lune Noire,Maison,6,"Peur d'être imparfait(e) dans l'acte, honte du corps, obsessions liées à la santé ou au contrôle. Tu analyses, critiques ou sacrifies ton désir. Blessure de pureté.",,,,,
Intime,"Femme, Homme",Lune Noire,Maison,7,"Peur de la fusion, du rejet par l'autre. Honte dans le miroir relationnel. Tu attires des partenaires qui rejouent ta blessure ou tu manipules par le lien. Blessure de couple.",,,,,
Intime,"Femme, Homme",Lune Noire,Maison,8,"Peur de l'intensité totale, de perdre le contrôle, de mourir dans l'autre. Honte liée au pouvoir sexuel, aux tabous profonds. Tu fuis ou plonges dans l'obsession. Blessure de pouvoir.",,,,,
Intime,"Femme, Homme",Lune Noire,Maison,9,"Peur de croire, d'espérer, d'être libre. Honte liée à tes croyances, à ta philosophie du désir. Tu refoules ou idéalises ta sexualité. Blessure de sens.",,,,,
Intime,"Femme, Homme",Lune Noire,Maison,10,"Peur du jugement social, de l'échec, d'être vu(e) comme imparfait(e). Honte publique liée au désir. Tu caches ou utilises ta sexualité pour ton statut. Blessure d'autorité.",,,,,
Intime,"Femme, Homme",Lune Noire,Maison,11,"Peur d'être différent(e), rejeté(e) par le groupe. Honte liée à tes désirs atypiques. Tu caches ou revendiques ta marginalité sexuelle. Blessure d'appartenance collective.
",,,,,
Intime,"Femme, Homme",Lune Noire,Maison,12,"Peur de l'inconscient, du sacrifice, de te perdre. Honte spiritualisée, désirs cachés dans l'ombre. Tu refoules totalement ou vis ta sexualité en secret. Blessure de dissolution.
",,,,,
Intime,"Femme, Homme",Lune Noire,Signe,Bélier,"Peur d’affirmer son désir, culpabilité liée à l’action ou à la colère.",feu; culpabilité; action; colère,,,,
Intime,"Femme, Homme",Lune Noire,Signe,Taureau,"Peur de manquer, de perdre ou de s’attacher. Désir charnel refoulé.",sécurité; corps; plaisir; peur,,,,
Intime,"Femme, Homme",Lune Noire,Signe,Gémeaux,Peur d’être incompris(e) ou jugé(e) pour ses pensées ou ses mots.,parole; secret; dualité; mental,,,,
Intime,"Femme, Homme",Lune Noire,Signe,Cancer,"Peur d’aimer, de se livrer, de dépendre. Blessure d’attachement.",famille; loyauté; vulnérabilité; peur,,,,
Intime,"Femme, Homme",Lune Noire,Signe,Lion,"Peur d’être vu, de briller, de prendre sa place.",fierté; lumière; honte; rayonnement,,,,
Intime,"Femme, Homme",Lune Noire,Signe,Vierge,"Peur d’être imparfait(e), de décevoir, besoin de contrôle sur le corps et le désir.",exigence; contrôle; corps; pudeur,,,,
Intime,"Femme, Homme",Lune Noire,Signe,Balance,Peur du rejet ou de ne pas plaire. Cherche l’amour parfait et se perd dans le regard de l’autre.,relation; miroir; harmonie; dépendance,,,,
Intime,"Femme, Homme",Lune Noire,Signe,Scorpion,"Peur de perdre le contrôle ou de se soumettre à la passion. Désir total, refoulé.",passion; tabou; fusion; intensité,,,,
Intime,"Femme, Homme",Lune Noire,Signe,Sagittaire,"Peur de croire, d’espérer, ou d’être trahi dans sa foi.",foi; quête; liberté; vérité,,,,
Intime,"Femme, Homme",Lune Noire,Signe,Capricorne,"Peur de l’échec, du rejet social ou de la faiblesse.",contrôle; dignité; peur; solitude,,,,
Intime,"Femme, Homme",Lune Noire,Signe,Verseau,"Peur d’être différent, rejeté, incompris. Désir de liberté culpabilisé.",différence; liberté; rejet; originalité,,,,
Intime,"Femme, Homme",Lune Noire,Signe,Poissons,"Peur de s’abandonner, de se dissoudre, de perdre pied.",foi; fuite; compassion; dissolution,,,,
Intime,"Femme, Homme",Lune Noire,Maison,5,"L’amour réveille les zones de honte et de désir caché. Tu veux plaire, mais tu crains de décevoir. L’expression affective oscille entre audace et culpabilité.",plaisir; honte; désir; créativité,,,,
Intime,"Femme, Homme",Lune Noire,Maison,7,"Peur du rejet dans le couple, honte de dépendre, attirance pour des liens déséquilibrés.",relation; peur; dépendance; loyauté,,,,
Intime,"Femme, Homme",Lune Noire,Maison,8,"L’amour devient une expérience de transformation. Désir intense, secret, parfois tabou.",intensité; tabou; passion; transformation,,,,
Intime,"Femme, Homme",Mars,Signe,Bélier,"Ton désir est vif, direct, impulsif. Tu prends l'initiative sexuelle avec audace, sans calcul. Tu aimes la conquête, l'intensité immédiate, le côté brut et physique. Tu peux être impatient(e), égocentrique ou manquer de douceur. Ta sexualité est franche, affirmée, sans détour.",impulsivité; conquête; franchise; impatience,,,,
Intime,"Femme, Homme",Mars,Signe,Taureau,"Ton désir est sensuel, lent, possessif. Tu prends ton temps pour construire le plaisir physique. Tu aimes le toucher, la présence corporelle, la sensualité prolongée. Tu peux être têtu(e), possessif(ve) ou résister aux changements. Ta sexualité est stable, charnelle, ancrée dans le corps.",sensualité; lenteur; possession; stabilité,,,,
Intime,"Femme, Homme",Mars,Signe,Gémeaux,"Ton désir est mental, ludique, varié. Tu es stimulé(e) par la conversation, le jeu, la nouveauté. Tu aimes expérimenter, parler, échanger pendant l'acte. Tu peux papillonner ou te lasser vite. Ta sexualité est légère, curieuse, intellectuelle.",curiosité; jeu; variété; mental,,,,
Intime,"Femme, Homme",Mars,Signe,Cancer,"Ton désir dépend de ton état émotionnel et de la sécurité affective. Tu as besoin de te sentir en confiance pour te lâcher sexuellement. Tu agis par vagues, selon ton humeur. Tu peux être passif(ve), défensif(ve) ou très protecteur(trice). Ta sexualité est émotionnelle, vulnérable, intuitive.""",sensibilité; sécurité; passivité; vulnérabilité,,,,
Intime,"Femme, Homme",Mars,Signe,Lion,"Ton désir est théâtral, généreux, solaire. Tu veux être admiré(e), impressionner, briller dans l'acte. Tu donnes beaucoup mais attends de la reconnaissance. Tu aimes le jeu, la créativité, la fierté partagée. Tu peux être vexé(e) par l'indifférence. Ta sexualité est chaude, expressive, chaleureuse.",théâtralité; fierté; générosité; reconnaissance,,,,
Intime,"Femme, Homme",Mars,Signe,Vierge,"Ton désir est discret, précis, parfois cérébral. Tu analyses, tu cherches à bien faire, à améliorer. Tu peux être pudique, critique ou anxieux(se). Tu montres ton désir par l'attention aux détails, le service. Ta sexualité est raffinée mais peut manquer de spontanéité.""",pudeur; perfectionnisme; service; analyse,,,,
Intime,"Femme, Homme",Mars,Signe,Balance,"Ton désir cherche l'harmonie, l'équilibre, la réciprocité. Tu hésites à prendre l'initiative, préférant séduire avec charme et diplomatie. Tu as besoin que l'acte soit beau, esthétique. Tu peux éviter la confrontation ou douter de tes envies. Ta sexualité est douce mais parfois indécise.",harmonie; hésitation; charme; indécision,,,,
Intime,"Femme, Homme",Mars,Signe,Scorpion,"Ton désir est intense, magnétique, obsessionnel. Tu t'investis totalement ou pas du tout. Tu veux fusionner, explorer l'ombre, vivre la transformation. Tu peux être jaloux(se), possessif(ve) ou manipulateur(trice). Ta sexualité est puissante, profonde, magnétique.""",intensité; fusion; obsession; pouvoir,,,,
Intime,"Femme, Homme",Mars,Signe,Sagittaire,"Ton désir est joyeux, libre, aventureux. Tu aimes explorer, expérimenter, rester spontané(e). Tu fuis la lourdeur, la possession. Tu peux être brutal(e) dans ta franchise ou fuir l'engagement. Ta sexualité est optimiste, ludique, sans tabou.",liberté; aventure; optimisme; franchise,,,,
Intime,"Femme, Homme",Mars,Signe,Capricorne,"Ton désir est contrôlé, ambitieux, patient. Tu prends l'initiative avec stratégie, maturité. Tu construis lentement mais solidement. Tu peux être froid(e), distant(e) ou calculateur(trice). Ta sexualité est sérieuse, endurante, performante.",contrôle; endurance; maturité; froideur,,,,
Intime,"Femme, Homme",Mars,Signe,Verseau,"Ton désir est atypique, détaché, expérimental. Tu aimes l'originalité, la liberté même dans l'intimité. Tu peux être distant(e) émotionnellement ou imprévisible. Ta sexualité est intellectuelle, égalitaire, sans conventions.",originalité; détachement; liberté; expérimentation,,,,
